Brand,Model_Name,Year_of_Launch,Purchase_Price_INR,Predicted_Current_Value_INR
Apple,iPhone 13,2024,38251,27304
OnePlus,OnePlus 10R,2024,42023,26625
Apple,iPhone 13,2024,33864,21883
Vivo,Vivo V20,2024,98969,64535
Motorola,Moto Edge 20,2018,126560,7901
Apple,iPhone 13,2024,105025,68921
Xiaomi,Redmi Note 10,2024,41116,25884
Nokia,Nokia 5.4,2019,63043,6042
Vivo,Vivo V21,2020,120198,14656
OnePlus,OnePlus 9,2023,79440,36175
Motorola,Moto E40,2019,87250,8713
Samsung,Galaxy S20,2022,12931,2919
Nokia,Nokia 6.2,2021,63600,13491
Samsung,Galaxy S22,2019,48419,4677
Apple,iPhone 11,2019,22428,922
Vivo,Vivo V20,2024,20256,12203
Nokia,Nokia G20,2024,63943,40624
Xiaomi,Redmi Note 11,2024,120972,81306
Realme,Realme 8,2018,12123,-163
Motorola,Moto G60,2023,115044,52511
Motorola,Moto Edge 20,2019,22241,-931
Motorola,Moto Edge 20,2019,102453,11325
Apple,iPhone 13,2021,10132,1661
Motorola,Moto G71,2022,58650,19502
Samsung,Galaxy S22,2022,43039,13563
Oppo,Oppo F21,2024,13018,5801
Motorola,Moto G71,2020,85592,12916
Nokia,Nokia G20,2024,74462,47817
OnePlus,OnePlus 9,2022,13520,3525
Apple,iPhone 11,2020,116477,14086
Xiaomi,Mi 11X,2024,18599,12467
Realme,Realme 8,2024,27959,21351
Apple,iPhone 13,2024,74771,51526
Nokia,Nokia 6.2,2020,21547,3768
Realme,Realme 9,2019,126123,13876
Apple,iPhone 13,2018,54549,2461
Xiaomi,Redmi Note 10,2019,117584,12218
Samsung,Galaxy S20,2024,87360,59109
Nokia,Nokia 7.2,2018,115985,5897
Samsung,Galaxy A52,2022,83528,24879
Xiaomi,Redmi Note 11,2019,86785,7474
Apple,iPhone 12,2024,36094,24983
Vivo,Vivo X60,2020,111608,14534
Samsung,Galaxy S20,2023,54108,22580
Samsung,Galaxy S21,2020,89738,14255
OnePlus,OnePlus Nord,2019,24874,-35
Oppo,Oppo F21,2024,34893,24940
Oppo,Oppo Reno 6,2023,85446,35983
Realme,Realme 8,2021,62066,10164
Xiaomi,Redmi Note 10,2024,110550,75528
Samsung,Galaxy S22,2024,46153,31104
OnePlus,OnePlus 10R,2024,105286,71748
Apple,iPhone 11,2021,90959,20075
Nokia,Nokia G20,2023,70632,32736
Motorola,Moto G60,2020,30012,3588
OnePlus,OnePlus 9,2023,16797,8146
Nokia,Nokia G20,2024,13979,7678
Samsung,Galaxy A52,2022,104116,32973
Samsung,Galaxy S21,2021,129794,24541
Apple,iPhone 12,2022,66742,18504
Nokia,Nokia 5.4,2024,109387,71978
OnePlus,OnePlus Nord,2020,11509,103
Vivo,Vivo Y20,2018,119924,8759
OnePlus,OnePlus 9,2021,63912,11791
Oppo,Oppo F19,2019,73357,7191
Motorola,Moto Edge 20,2018,94591,3307
Motorola,Moto Edge 20,2024,78356,50178
Samsung,Galaxy S21,2022,16650,5403
Nokia,Nokia 5.4,2018,106414,7876
Vivo,Vivo X60,2023,103377,49284
Oppo,Oppo Reno 6,2024,70614,46995
Apple,iPhone 14,2021,87237,15034
Apple,iPhone 12,2024,129337,85279
Samsung,Galaxy S21,2018,129460,6281
Motorola,Moto G71,2020,125599,15040
Nokia,Nokia G20,2024,54827,34488
Xiaomi,Redmi Note 11,2022,105704,33304
Xiaomi,Redmi Note 10,2018,35485,406
Realme,Realme GT,2020,82337,10750
Oppo,Oppo A53,2023,53349,24246
Vivo,Vivo V21,2023,12873,5987
Nokia,Nokia 6.2,2019,106370,12268
Motorola,Moto E40,2023,120879,56524
Xiaomi,Mi 11X,2024,78566,49759
Vivo,Vivo Y20,2023,54485,22117
OnePlus,OnePlus Nord,2022,55036,14177
Oppo,Oppo F21,2018,89366,2481
Samsung,Galaxy S22,2018,128805,7338
Motorola,Moto Edge 20,2020,47344,4494
Xiaomi,Mi 10,2019,128696,14428
Realme,Realme Narzo 50,2023,35070,13848
Realme,Realme 9,2021,18319,4332
OnePlus,OnePlus 10R,2023,79172,33003
Xiaomi,Mi 10,2019,46303,2983
Nokia,Nokia G20,2018,86460,7262
Nokia,Nokia 7.2,2024,122813,81150
Apple,iPhone 11,2022,92956,29127
Samsung,Galaxy A52,2023,41869,17167
Nokia,Nokia 6.2,2024,88033,62032
Oppo,Oppo F21,2021,27852,5013
Apple,iPhone 13,2023,55797,23287
Oppo,Oppo Reno 6,2020,54267,7159
OnePlus,OnePlus 9,2023,76696,35676
Oppo,Oppo F19,2021,83055,15489
Nokia,Nokia 7.2,2020,68946,10738
Vivo,Vivo X60,2022,100639,31001
Oppo,Oppo A53,2019,58088,4263
Vivo,Vivo V20,2021,127723,26747
Realme,Realme 8,2023,71562,29219
Nokia,Nokia G20,2021,57199,12516
Oppo,Oppo F21,2018,23120,1872
OnePlus,OnePlus Nord,2020,59990,5460
Vivo,Vivo Y20,2021,54662,8982
Apple,iPhone 14,2018,103544,4532
Vivo,Vivo Y20,2022,37759,9794
Realme,Realme 8,2021,77097,15360
Vivo,Vivo V20,2022,102672,32009
Nokia,Nokia 5.4,2019,71984,5288
Vivo,Vivo V21,2020,98520,15393
Apple,iPhone 12,2020,37567,3688
Vivo,Vivo Y20,2022,100125,28997
Realme,Realme 9,2020,66783,6807
Vivo,Vivo V20,2018,65187,2663
Samsung,Galaxy S22,2023,46033,19710
OnePlus,OnePlus 10R,2022,80299,21514
Realme,Realme 9,2023,25732,9818
Realme,Realme Narzo 50,2018,90781,7602
Xiaomi,Redmi Note 11,2021,40370,8466
Motorola,Moto G71,2019,22033,1243
Nokia,Nokia G20,2022,17694,8037
Oppo,Oppo Reno 6,2023,76912,36610
Motorola,Moto Edge 20,2023,28827,13885
OnePlus,OnePlus 10R,2021,59509,14319
Motorola,Moto Edge 20,2020,78398,11601
Samsung,Galaxy S22,2019,96186,11697
Apple,iPhone 12,2019,119690,11752
OnePlus,OnePlus 10R,2019,124282,13752
Oppo,Oppo F21,2020,18663,3433
Vivo,Vivo Y20,2020,102021,15201
Realme,Realme 8,2024,11798,7182
Nokia,Nokia 6.2,2019,18722,3579
Apple,iPhone 11,2021,103133,21417
Apple,iPhone 14,2023,37687,19045
Oppo,Oppo A53,2019,43202,2196
OnePlus,OnePlus 9,2019,123707,14084
Realme,Realme 8,2019,76623,7282
Samsung,Galaxy S21,2018,54422,4528
Nokia,Nokia 5.4,2022,54814,14406
OnePlus,OnePlus 10R,2021,87600,20076
OnePlus,OnePlus 9,2019,44624,2684
Oppo,Oppo F19,2023,35142,18573
Nokia,Nokia G20,2018,91397,7182
Apple,iPhone 12,2020,110418,16739
Realme,Realme 9,2022,40295,14650
Nokia,Nokia 5.4,2022,110836,35035
Apple,iPhone 14,2024,125134,81061
Oppo,Oppo F19,2024,39196,26838
Vivo,Vivo V21,2022,10780,5799
OnePlus,OnePlus Nord,2021,8046,4336
Oppo,Oppo F21,2021,54618,9972
Samsung,Galaxy A52,2022,62521,18022
Oppo,Oppo F21,2022,63911,20343
Motorola,Moto E40,2024,50106,33741
Samsung,Galaxy S20,2024,31680,18936
Nokia,Nokia 6.2,2018,24089,2237
Motorola,Moto Edge 20,2020,107748,16790
Nokia,Nokia 5.4,2022,123724,39616
Xiaomi,Mi 11X,2024,31022,20516
Apple,iPhone 11,2023,107114,47743
Xiaomi,Redmi Note 11,2020,127447,19032
Motorola,Moto E40,2020,95288,11920
OnePlus,OnePlus Nord,2019,31924,323
Samsung,Galaxy S21,2024,99335,66494
Samsung,Galaxy S21,2021,93580,17326
Vivo,Vivo V20,2021,72925,16694
Nokia,Nokia 7.2,2024,128123,83294
Oppo,Oppo A53,2023,73785,31036
Realme,Realme GT,2022,82120,24702
Motorola,Moto G60,2018,94025,4433
Vivo,Vivo V21,2024,70908,46503
Apple,iPhone 14,2024,48187,32547
Realme,Realme 9,2022,79931,21367
Motorola,Moto G60,2024,50932,36043
Motorola,Moto G60,2018,121313,4847
Samsung,Galaxy A52,2022,42309,12229
Nokia,Nokia 7.2,2023,122989,53922
Nokia,Nokia 7.2,2020,123396,15869
Oppo,Oppo A53,2019,66781,7725
Oppo,Oppo F19,2022,39497,13695
Xiaomi,Mi 11X,2020,97336,15752
Samsung,Galaxy S21,2020,59131,5795
Oppo,Oppo F19,2018,119354,4618
OnePlus,OnePlus 10R,2019,74978,4706
Oppo,Oppo F21,2021,102799,23464
Apple,iPhone 14,2022,113813,31400
Xiaomi,Redmi Note 11,2019,114428,10479
Realme,Realme 8,2018,111819,7578
Motorola,Moto G71,2024,112539,73269
OnePlus,OnePlus 9,2019,74563,7713
Apple,iPhone 13,2021,62689,14026
OnePlus,OnePlus 10R,2019,120204,12914
Motorola,Moto E40,2018,112165,4166
Apple,iPhone 11,2021,32998,6113
Xiaomi,Redmi Note 10,2018,88125,3502
Motorola,Moto G60,2018,129778,9147
Realme,Realme 9,2019,28455,-224
Samsung,Galaxy S21,2023,30946,16414
Nokia,Nokia 7.2,2018,27177,2635
OnePlus,OnePlus Nord,2019,93831,11201
Nokia,Nokia 7.2,2021,92463,16750
Apple,iPhone 13,2018,63240,1548
Samsung,Galaxy S21,2021,129116,28101
Apple,iPhone 14,2018,9286,1926
Samsung,Galaxy A52,2020,60656,5419
Nokia,Nokia 7.2,2018,10356,1395
Vivo,Vivo V21,2024,41163,29136
Apple,iPhone 12,2020,25635,3360
Nokia,Nokia 6.2,2020,30516,3842
Nokia,Nokia 6.2,2018,56570,1552
Samsung,Galaxy S20,2019,126697,12469
Motorola,Moto E40,2018,40910,3106
Apple,iPhone 11,2024,45588,32642
Oppo,Oppo A53,2024,29559,18721
Oppo,Oppo A53,2023,60493,26134
Samsung,Galaxy A52,2022,93361,30287
Apple,iPhone 12,2022,97818,30435
Samsung,Galaxy S21,2024,39574,28019
Xiaomi,Mi 11X,2020,8314,3669
Realme,Realme 8,2022,110755,30615
Realme,Realme GT,2021,32437,7782
Apple,iPhone 13,2018,72601,2200
OnePlus,OnePlus Nord,2020,108030,12221
Vivo,Vivo V21,2023,98746,47266
Realme,Realme Narzo 50,2020,58793,5557
Nokia,Nokia 6.2,2024,45454,32739
Vivo,Vivo Y20,2022,120665,37168
OnePlus,OnePlus 8,2018,79332,6328
Samsung,Galaxy S21,2022,36611,9998
OnePlus,OnePlus 10R,2023,56705,25384
OnePlus,OnePlus Nord,2018,52299,1017
Motorola,Moto Edge 20,2024,93767,64256
Apple,iPhone 14,2018,84333,5298
Realme,Realme GT,2024,82102,57813
Oppo,Oppo A53,2020,56789,7495
Motorola,Moto G60,2024,8343,4803
Realme,Realme 9,2022,105984,29359
Vivo,Vivo Y20,2020,121533,18277
Nokia,Nokia 7.2,2020,115506,13139
Motorola,Moto Edge 20,2020,122492,15321
Nokia,Nokia 5.4,2019,49103,3081
Motorola,Moto Edge 20,2020,105198,16272
Apple,iPhone 11,2019,75125,9757
Apple,iPhone 13,2021,37937,8794
Oppo,Oppo A53,2020,19057,-46
Nokia,Nokia 6.2,2023,70195,30183
Xiaomi,Redmi Note 11,2018,98154,4391
OnePlus,OnePlus 9,2023,46516,22513
Samsung,Galaxy S20,2021,111489,23171
Xiaomi,Redmi Note 11,2021,98351,20835
Oppo,Oppo Reno 6,2023,120050,56842
Vivo,Vivo Y20,2018,100277,7288
OnePlus,OnePlus 8,2022,98878,31920
Motorola,Moto Edge 20,2021,85103,18847
Xiaomi,Redmi Note 11,2022,125374,40250
Xiaomi,Mi 10,2020,105413,15287
Motorola,Moto E40,2023,125824,55624
Nokia,Nokia 5.4,2018,14864,3328
Apple,iPhone 14,2020,79864,11153
Motorola,Moto G71,2018,127210,9356
OnePlus,OnePlus Nord,2024,121670,81970
Vivo,Vivo Y20,2023,113548,50642
Xiaomi,Mi 10,2022,59375,18114
Xiaomi,Mi 10,2019,112091,12239
OnePlus,OnePlus 10R,2022,90399,27766
Nokia,Nokia 6.2,2023,60867,29789
Realme,Realme Narzo 50,2024,36464,27316
Apple,iPhone 14,2022,29868,7634
Nokia,Nokia G20,2020,56808,10090
Oppo,Oppo A53,2019,98776,8214
Oppo,Oppo A53,2021,46491,7860
Realme,Realme GT,2020,119932,15645
OnePlus,OnePlus 9,2018,108201,3744
Samsung,Galaxy S22,2019,14622,-112
Oppo,Oppo F19,2020,9331,347
Samsung,Galaxy A52,2018,128597,5003
Samsung,Galaxy A52,2021,77078,15404
Motorola,Moto E40,2022,12346,1968
Xiaomi,Mi 11X,2020,76816,10187
Samsung,Galaxy S22,2024,55178,35860
OnePlus,OnePlus Nord,2019,30459,2498
Samsung,Galaxy A52,2022,16824,6391
OnePlus,OnePlus Nord,2024,37908,24908
Apple,iPhone 14,2022,118074,37403
Motorola,Moto G71,2023,75759,36958
Xiaomi,Redmi Note 11,2018,35036,-447
Apple,iPhone 13,2019,59236,2896
Realme,Realme 9,2023,20464,12052
Samsung,Galaxy S22,2021,36838,9237
Xiaomi,Mi 10,2024,129003,84222
Samsung,Galaxy S22,2024,107940,70961
Samsung,Galaxy S21,2024,72262,46726
OnePlus,OnePlus 10R,2023,109969,52361
OnePlus,OnePlus 8,2024,20977,11679
Nokia,Nokia 6.2,2020,73786,11714
Motorola,Moto G71,2020,115160,14695
Xiaomi,Redmi Note 11,2023,70461,34575
Oppo,Oppo A53,2024,86049,55612
Vivo,Vivo X60,2022,99523,31376
Nokia,Nokia 7.2,2019,50408,4621
Nokia,Nokia 7.2,2024,103995,66875
Nokia,Nokia G20,2023,17837,5828
OnePlus,OnePlus 8,2024,92266,59357
Samsung,Galaxy S22,2024,37662,25947
Nokia,Nokia 5.4,2018,27570,3180
Realme,Realme 8,2020,7332,3815
Motorola,Moto E40,2023,52469,21284
Samsung,Galaxy S20,2021,105408,22785
Xiaomi,Mi 10,2022,73799,23379
Vivo,Vivo Y20,2020,117420,15916
Motorola,Moto Edge 20,2019,18925,1213
Samsung,Galaxy S20,2020,22944,4211
Samsung,Galaxy S21,2024,46288,31294
Vivo,Vivo V21,2021,61500,10396
Apple,iPhone 13,2024,74269,48193
Motorola,Moto Edge 20,2019,30397,1678
Xiaomi,Mi 10,2024,116480,75965
Samsung,Galaxy A52,2022,57778,19446
Realme,Realme 8,2020,81775,12698
Samsung,Galaxy S20,2020,89897,11487
Oppo,Oppo F19,2018,51421,6025
Xiaomi,Mi 10,2022,91350,26849
Motorola,Moto G60,2023,32517,15883
Realme,Realme 9,2024,48681,33183
Oppo,Oppo F19,2021,59467,10343
Samsung,Galaxy A52,2021,54530,10562
Vivo,Vivo X60,2022,33953,10632
Vivo,Vivo X60,2021,79283,15138
Nokia,Nokia 5.4,2019,31131,3111
Realme,Realme GT,2023,45793,22293
Nokia,Nokia G20,2020,124543,15243
Samsung,Galaxy S21,2019,100647,9907
Realme,Realme GT,2020,89159,14318
Oppo,Oppo F19,2019,20388,3148
Motorola,Moto Edge 20,2018,43501,4767
Apple,iPhone 12,2024,52321,34504
Motorola,Moto E40,2020,43454,3461
Xiaomi,Mi 11X,2019,39893,1631
Vivo,Vivo V20,2023,37031,17921
Samsung,Galaxy A52,2021,31369,8146
Nokia,Nokia G20,2020,74700,9997
Xiaomi,Redmi Note 11,2022,67938,18145
Xiaomi,Redmi Note 10,2022,35280,8862
Samsung,Galaxy S22,2023,123671,55481
Realme,Realme Narzo 50,2022,61064,19151
Motorola,Moto Edge 20,2023,81787,34970
Xiaomi,Mi 10,2019,30767,2745
Xiaomi,Mi 10,2023,104122,46835
Vivo,Vivo Y20,2020,54046,6889
Samsung,Galaxy S21,2019,22681,4499
Oppo,Oppo A53,2018,72823,6903
Samsung,Galaxy A52,2018,37094,3183
Oppo,Oppo F21,2023,122164,56167
Apple,iPhone 14,2019,70701,9381
Apple,iPhone 11,2022,40130,11819
Apple,iPhone 11,2021,127750,23915
Samsung,Galaxy S20,2023,124280,58714
Oppo,Oppo F19,2024,94658,61079
Samsung,Galaxy S20,2018,89642,4499
Samsung,Galaxy S20,2022,93861,29467
Vivo,Vivo V21,2022,36791,9646
Nokia,Nokia G20,2019,34394,2939
OnePlus,OnePlus Nord,2018,99167,7937
Nokia,Nokia 7.2,2023,75897,35326
Motorola,Moto G60,2023,102851,47151
Motorola,Moto E40,2019,127698,10366
Nokia,Nokia 5.4,2020,103165,12838
Realme,Realme GT,2023,63855,29128
Realme,Realme 9,2024,126816,85154
Vivo,Vivo X60,2022,47387,14145
Xiaomi,Mi 11X,2018,74271,2780
Vivo,Vivo V21,2019,86218,7674
Vivo,Vivo V20,2018,101393,3912
Motorola,Moto Edge 20,2019,69106,4262
Nokia,Nokia 7.2,2018,74372,2611
Apple,iPhone 12,2019,109386,7897
OnePlus,OnePlus 8,2024,41621,29827
Xiaomi,Mi 10,2021,69315,13704
Motorola,Moto G60,2019,126633,10402
Vivo,Vivo Y20,2021,55120,13377
Apple,iPhone 14,2020,90560,14863
Nokia,Nokia 7.2,2022,43139,13825
OnePlus,OnePlus 10R,2018,8787,2123
Samsung,Galaxy S20,2019,21101,2632
Apple,iPhone 11,2018,97544,5059
Motorola,Moto G60,2018,76600,2151
Motorola,Moto E40,2023,80966,38103
Samsung,Galaxy S21,2021,26733,5107
OnePlus,OnePlus 8,2024,18887,13336
Realme,Realme GT,2021,128026,26094
Motorola,Moto G71,2019,120504,11517
Nokia,Nokia G20,2020,118382,17061
Nokia,Nokia 7.2,2021,15117,4857
Xiaomi,Redmi Note 10,2018,120071,8117
Samsung,Galaxy S22,2018,19584,-1283
OnePlus,OnePlus 8,2023,59690,24431
OnePlus,OnePlus 9,2020,70723,6738
Nokia,Nokia 7.2,2018,26059,1299
Oppo,Oppo F19,2022,93243,27934
Oppo,Oppo F19,2020,112417,12613
Vivo,Vivo V20,2018,98775,8979
Apple,iPhone 14,2021,90063,17511
Xiaomi,Mi 10,2023,83572,36433
Oppo,Oppo F19,2018,25363,261
Samsung,Galaxy A52,2020,104760,13782
Samsung,Galaxy S22,2023,104007,47629
Nokia,Nokia 7.2,2023,85740,36550
OnePlus,OnePlus Nord,2021,121265,22204
Samsung,Galaxy S20,2018,102972,8170
OnePlus,OnePlus 8,2018,82637,2378
Xiaomi,Mi 11X,2022,128049,38248
Apple,iPhone 11,2023,73138,34047
Realme,Realme 9,2021,45520,9556
Motorola,Moto Edge 20,2020,21478,1718
Realme,Realme GT,2022,93298,25418
Motorola,Moto G71,2018,14029,-1617
Vivo,Vivo Y20,2021,68306,13319
OnePlus,OnePlus 8,2021,9749,1999
Nokia,Nokia 5.4,2021,121085,26497
Apple,iPhone 14,2020,38607,7740
Oppo,Oppo F19,2022,98893,31093
Motorola,Moto G71,2024,55130,36848
Samsung,Galaxy S22,2019,90907,11052
Samsung,Galaxy S22,2020,82580,9694
Nokia,Nokia 5.4,2024,12169,9323
Xiaomi,Mi 11X,2020,21283,3856
Samsung,Galaxy S20,2018,127092,9078
Oppo,Oppo F19,2022,124817,36423
Samsung,Galaxy A52,2022,7332,88
Motorola,Moto Edge 20,2018,106778,6835
Motorola,Moto G71,2022,45729,16638
Realme,Realme GT,2018,111946,5379
Oppo,Oppo F21,2021,84423,15928
Nokia,Nokia 7.2,2023,19782,8718
Xiaomi,Redmi Note 11,2023,50227,24908
Xiaomi,Mi 11X,2023,102860,47277
Realme,Realme Narzo 50,2019,62773,3207
Vivo,Vivo X60,2024,97884,63980
Apple,iPhone 12,2020,94706,12887
Motorola,Moto G60,2019,92068,8265
Motorola,Moto G60,2023,82175,36125
Oppo,Oppo A53,2020,102564,15571
Realme,Realme 8,2021,65850,15934
Nokia,Nokia 5.4,2018,33040,2292
Vivo,Vivo Y20,2023,60519,26096
Motorola,Moto E40,2020,76264,7475
Vivo,Vivo X60,2022,73902,24151
Oppo,Oppo A53,2019,17791,-1369
Samsung,Galaxy S21,2021,75732,18109
Nokia,Nokia 7.2,2020,40851,7280
Samsung,Galaxy S22,2022,109654,31471
Vivo,Vivo V20,2021,62596,13380
OnePlus,OnePlus Nord,2019,25186,335
Vivo,Vivo X60,2022,95795,27213
Xiaomi,Redmi Note 11,2024,25642,19164
Apple,iPhone 11,2018,61591,5626
Apple,iPhone 12,2021,36687,9350
Motorola,Moto E40,2021,85518,15648
Motorola,Moto G60,2024,10282,8635
Nokia,Nokia G20,2019,38095,4047
Samsung,Galaxy S21,2020,109413,12320
Oppo,Oppo F21,2023,35718,17356
Samsung,Galaxy S21,2024,90600,59781
Motorola,Moto E40,2018,78135,2241
Motorola,Moto G60,2019,114406,9069
Motorola,Moto Edge 20,2018,101168,5783
Motorola,Moto G60,2021,42639,10007
Motorola,Moto E40,2021,17025,2772
Samsung,Galaxy A52,2021,53581,12507
Apple,iPhone 11,2023,88055,39456
OnePlus,OnePlus 8,2023,50549,22128
Xiaomi,Mi 11X,2022,75721,23922
Samsung,Galaxy S21,2019,66262,4925
Motorola,Moto E40,2019,46114,3049
Apple,iPhone 12,2021,29278,6609
Samsung,Galaxy A52,2022,39345,13231
Vivo,Vivo X60,2020,56337,8676
Nokia,Nokia G20,2023,81717,38497
Oppo,Oppo F21,2022,42916,13398
Motorola,Moto E40,2022,62124,19130
Motorola,Moto Edge 20,2019,99148,9443
Realme,Realme GT,2022,10345,4196
Samsung,Galaxy S22,2018,49612,4512
OnePlus,OnePlus 10R,2023,78699,33362
OnePlus,OnePlus 8,2023,69573,31215
Motorola,Moto G60,2020,44073,4780
Motorola,Moto Edge 20,2021,113757,23247
Apple,iPhone 14,2020,25611,4793
OnePlus,OnePlus 9,2021,105129,20383
Vivo,Vivo X60,2019,37894,4770
Samsung,Galaxy A52,2018,30571,3217
Realme,Realme 8,2024,54450,36914
Realme,Realme 9,2023,99311,47069
Xiaomi,Mi 11X,2022,107830,30254
Realme,Realme 9,2019,17782,2722
Vivo,Vivo X60,2024,12550,7066
Nokia,Nokia G20,2020,38739,7478
Motorola,Moto E40,2018,8504,3127
Nokia,Nokia 5.4,2020,51644,7075
Apple,iPhone 13,2019,114514,8309
Nokia,Nokia G20,2021,50404,10710
Samsung,Galaxy S20,2022,97796,28801
Motorola,Moto Edge 20,2023,48294,23658
Samsung,Galaxy S22,2024,92639,64136
Realme,Realme Narzo 50,2024,124869,86337
Oppo,Oppo F21,2023,84092,37025
Vivo,Vivo X60,2020,64801,6694
Apple,iPhone 11,2020,75487,10587
Samsung,Galaxy S22,2020,117187,14005
Vivo,Vivo V20,2019,49128,6577
Vivo,Vivo V21,2018,81979,5543
Vivo,Vivo Y20,2019,67517,8191
Vivo,Vivo V20,2018,51840,2694
Xiaomi,Mi 10,2022,116875,36600
Oppo,Oppo F19,2024,61899,43239
Samsung,Galaxy S21,2024,40642,28695
Oppo,Oppo A53,2019,36899,3814
Apple,iPhone 14,2020,105469,13634
Xiaomi,Redmi Note 11,2020,38068,7066
Xiaomi,Mi 10,2023,105744,48399
Apple,iPhone 12,2019,125103,12588
OnePlus,OnePlus 10R,2019,79160,6610
Apple,iPhone 14,2022,78748,21853
Xiaomi,Redmi Note 10,2023,95952,43492
Vivo,Vivo V20,2018,37633,643
Nokia,Nokia 6.2,2022,67143,17508
Vivo,Vivo Y20,2018,11472,2777
Motorola,Moto G60,2019,70889,3898
Xiaomi,Mi 11X,2018,74987,5390
Xiaomi,Redmi Note 10,2019,122343,8823
Realme,Realme GT,2019,127272,13824
OnePlus,OnePlus 9,2021,51327,8332
Vivo,Vivo V21,2023,93303,43901
OnePlus,OnePlus 8,2022,42213,9867
Realme,Realme GT,2018,84256,5567
Nokia,Nokia 7.2,2021,70511,15474
Realme,Realme 8,2019,52599,5148
Realme,Realme Narzo 50,2021,84494,18022
OnePlus,OnePlus Nord,2021,64019,13659
OnePlus,OnePlus Nord,2023,9238,6321
Nokia,Nokia G20,2022,62010,20183
Apple,iPhone 13,2020,62371,6332
Vivo,Vivo V20,2018,49460,1481
Apple,iPhone 14,2019,28249,967
OnePlus,OnePlus 10R,2018,30097,3517
Nokia,Nokia 6.2,2021,18525,5013
Apple,iPhone 12,2018,112741,5323
Apple,iPhone 12,2021,30049,7032
OnePlus,OnePlus 10R,2020,113001,13234
Xiaomi,Mi 11X,2019,66472,7164
Apple,iPhone 12,2018,9139,3475
Samsung,Galaxy A52,2024,99293,66934
OnePlus,OnePlus 9,2021,32656,5570
Nokia,Nokia 6.2,2021,114375,23840
Samsung,Galaxy A52,2019,121421,10622
Oppo,Oppo F21,2022,31165,6807
Oppo,Oppo Reno 6,2021,128905,26310
Motorola,Moto G71,2021,13399,2612
Nokia,Nokia 7.2,2020,40824,4108
OnePlus,OnePlus Nord,2023,117610,51667
Samsung,Galaxy A52,2020,98459,13674
Realme,Realme GT,2024,29075,20402
Samsung,Galaxy S22,2021,120173,24029
OnePlus,OnePlus 10R,2019,33979,5908
Apple,iPhone 14,2019,57007,2956
Nokia,Nokia 7.2,2021,26335,8234
Xiaomi,Redmi Note 10,2023,113344,51130
Oppo,Oppo A53,2020,52110,4198
Vivo,Vivo V20,2019,56725,7223
Xiaomi,Redmi Note 10,2023,23277,11591
Realme,Realme 8,2019,76576,4279
Vivo,Vivo X60,2020,39794,7983
Motorola,Moto G60,2021,10447,4582
Vivo,Vivo X60,2024,101006,69934
Oppo,Oppo F19,2020,118286,14526
Motorola,Moto E40,2022,17009,5642
Realme,Realme 9,2022,52647,16946
Vivo,Vivo V20,2020,125030,15168
Motorola,Moto G60,2018,113462,7924
Nokia,Nokia 6.2,2024,75324,48599
Nokia,Nokia 7.2,2023,112342,52472
OnePlus,OnePlus 9,2018,51663,2973
Oppo,Oppo Reno 6,2022,106129,35001
Realme,Realme GT,2018,105845,3933
Motorola,Moto G71,2023,28042,13643
Motorola,Moto Edge 20,2020,41373,6186
