Brand,Model_Name,Year_of_Launch,Purchase_Price_INR,Predicted_Current_Value_INR
Apple,iPhone 11,2023,37203,15650
Oppo,Oppo A53,2018,83259,3431
Nokia,Nokia 6.2,2021,96592,17846
OnePlus,OnePlus 9,2024,108077,73668
Apple,iPhone 11,2020,111161,12926
Realme,Realme 9,2024,12413,11293
Xiaomi,Redmi Note 11,2023,110409,51734
OnePlus,OnePlus 10R,2024,60526,41219
Oppo,Oppo F19,2023,76622,36476
Vivo,Vivo V21,2022,34733,10722
OnePlus,OnePlus Nord,2020,58556,7787
Realme,Realme GT,2022,120585,34330
Samsung,Galaxy S22,2020,115843,14970
OnePlus,OnePlus Nord,2020,121505,16073
Apple,iPhone 14,2021,129806,26392
Samsung,Galaxy S21,2018,62516,4111
Samsung,Galaxy S21,2024,104351,70296
OnePlus,OnePlus 10R,2019,33979,5908
OnePlus,OnePlus Nord,2021,104746,23185
Motorola,Moto Edge 20,2019,75644,4450
Motorola,Moto G60,2022,103568,31213
Samsung,Galaxy S20,2019,103308,11441
Oppo,Oppo Reno 6,2021,73545,14023
Motorola,Moto E40,2023,26835,12102
Xiaomi,Redmi Note 10,2021,61320,11735
Vivo,Vivo Y20,2024,78745,52355
Apple,iPhone 12,2022,115540,36160
Samsung,Galaxy S21,2019,119302,12725
Apple,iPhone 14,2018,40336,2862
Realme,Realme 9,2019,10051,3734
Nokia,Nokia 7.2,2020,44917,8925
Vivo,Vivo Y20,2018,50381,4749
Realme,Realme Narzo 50,2020,13787,-776
Nokia,Nokia 7.2,2018,38704,5352
Vivo,Vivo V20,2024,55004,38434
Nokia,Nokia 7.2,2024,73095,47281
Oppo,Oppo F21,2020,48957,5201
Apple,iPhone 14,2020,71405,7684
Nokia,Nokia 5.4,2022,109360,33820
Apple,iPhone 12,2023,77156,34105
Apple,iPhone 11,2020,117506,17098
Vivo,Vivo V20,2020,9433,3905
Realme,Realme 9,2018,69745,2280
Motorola,Moto G60,2019,105445,10968
OnePlus,OnePlus Nord,2023,25491,12430
OnePlus,OnePlus 10R,2020,84789,11308
Motorola,Moto G60,2023,9727,6128
Samsung,Galaxy S22,2022,25547,5807
Realme,Realme GT,2018,88209,2676
Oppo,Oppo A53,2019,96604,7765
Samsung,Galaxy A52,2024,108581,72826
OnePlus,OnePlus Nord,2022,72547,19661
Xiaomi,Redmi Note 10,2021,58747,10954
Apple,iPhone 11,2024,74396,49535
Realme,Realme 9,2019,25386,2694
OnePlus,OnePlus Nord,2023,17339,8084
Samsung,Galaxy A52,2018,41978,5050
Xiaomi,Redmi Note 11,2024,49809,34216
OnePlus,OnePlus 9,2021,90084,17074
Vivo,Vivo Y20,2021,128586,25781
OnePlus,OnePlus 9,2024,8729,5200
Realme,Realme GT,2022,83024,26657
Nokia,Nokia 6.2,2021,96022,21840
Motorola,Moto Edge 20,2018,50396,2105
Vivo,Vivo V21,2022,103822,30518
Samsung,Galaxy S20,2024,20450,11993
Vivo,Vivo X60,2022,52958,14422
Realme,Realme 9,2019,114704,7910
Vivo,Vivo V20,2024,36289,23100
Motorola,Moto E40,2024,53675,33895
Samsung,Galaxy S22,2024,102388,67835
OnePlus,OnePlus 10R,2019,69541,7711
Vivo,Vivo X60,2023,105011,50017
Apple,iPhone 11,2022,60784,20859
Oppo,Oppo F21,2021,55231,9737
OnePlus,OnePlus 10R,2018,33360,4152
Nokia,Nokia G20,2020,44716,3550
Realme,Realme 9,2023,43705,17262
OnePlus,OnePlus 8,2018,84204,4406
Motorola,Moto E40,2019,129317,11456
Motorola,Moto G71,2022,105496,28900
Samsung,Galaxy A52,2022,106901,32416
Motorola,Moto E40,2020,57684,7022
Samsung,Galaxy S20,2022,24314,8131
Nokia,Nokia 6.2,2021,69535,16555
Xiaomi,Redmi Note 11,2018,107174,5282
Oppo,Oppo Reno 6,2023,88424,42133
Oppo,Oppo A53,2024,109429,73932
OnePlus,OnePlus 9,2022,82083,25983
Xiaomi,Mi 11X,2018,110629,7724
Nokia,Nokia 6.2,2020,9232,-1466
Vivo,Vivo V21,2023,40243,18105
Nokia,Nokia G20,2019,68784,9096
Realme,Realme 9,2021,121077,21979
Samsung,Galaxy S21,2021,102587,20533
Samsung,Galaxy S22,2022,23270,5651
Vivo,Vivo X60,2021,61609,10281
OnePlus,OnePlus Nord,2021,80655,16453
Nokia,Nokia 6.2,2020,28529,5666
OnePlus,OnePlus 9,2024,105283,70443
Realme,Realme Narzo 50,2022,73709,21574
Realme,Realme GT,2021,57748,13798
OnePlus,OnePlus Nord,2023,20427,6552
Motorola,Moto G71,2024,90733,60800
Motorola,Moto E40,2020,98950,12972
Samsung,Galaxy S21,2023,115929,54107
Xiaomi,Mi 10,2024,70566,47847
Realme,Realme Narzo 50,2024,122698,84137
Realme,Realme GT,2024,58051,41082
Realme,Realme Narzo 50,2022,108496,35197
OnePlus,OnePlus 10R,2022,48901,12692
OnePlus,OnePlus Nord,2022,128267,36542
Nokia,Nokia G20,2020,107007,14559
Realme,Realme Narzo 50,2022,59897,19211
